,review,sentiment
72, The sink in the bathroom was very dirty when I got the room Unacceptable The room was freezing cold they could turn on the heating before the guests arrive ,0
73, upgraded on arrival very good but unfortunately lovely room had a smell of cigarettes mixed with perfume so changed room next room in attic annexe very cold offered a heater but asked to change again back to regular sized room perfectly adequate as on my own and comfortable but bothered by traffic noise from main road outside ,0
74, If you are staying with someone who you aren t comfortable sharing every little detail with we wouldn t recommend this hotel The glass box in the corner of the room that doubles as the en suite has practically see through glass even though it s black so you can t be concerned about protecting your modesty Nearly all the guests we came across we re British but there was a complete lack of English Breakfast tea in the restaurant where you had breakfast What made it stranger was we told them it was available in the tea coffee facilities in the room but only with powdered milk but they still couldn t produce any for breakfast The hotel was also undergoing serious renovation works at the time Which didn t really affect us other than when they decided to start taking the ceiling of the restaurant down while they were serving breakfast ,0
75,No Negative,0
76, The hotel is undergoing massive construction with workers all around and this was not indicated at the time of booking We had a rodent in the room one night due to the disturbance of construction ,0
77, Rooms were a little louder than we would have liked A lot of noise from people walking by and shutting doors ,0
78,No Negative,0
79,No Negative,0
80, The hotel is being renovated Which means that you will literally be drilled out of your bed starting at 7am We paid EUR350 for a large room but really it was not worth the money ,0
81, I can t think of anything that we didn t enjoy ,0
82, The cleaniness of the rooms can be better Check refrigerator regulary and the rooms can use a good cleaning scrub Also the floor was really sandy and there was an odor in the hallway and room Some extra pillows to watch tv would be nice too Restaurant some nice varpet at the fire place would spice it up And cookies with your tea coffee hot choco it s a star hotel ,0
83, Wasn t told about renovations going on staff in the restaurant very slow ask to order got told table service then when they did come over were told the restaurant had closed The man covering the night shift wasn t very helpful ,0
84, The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy ,0
85, Initial room was small but we were quickly swapped into a bettet room without fuss,0
86, That I wasn t told about the refurbishment so when we arrived i had told my girlfriend after a long tiring day it was a beautiful hotel which when we got there was covered in building works We had to walk through a temporary wood tunnel had no milk in our room for refreshments When walking around there was nobody very empty feel ,0
87, Maintenance work on facade of hotel no advance warning and some rather inadequate drinks token to make up for it Leaking air con above bed was noisy and was dripping Stained carpet Not very safe feeling a steep staircase to the sleeping area with no barrier from 2 3m high Not much useful information No minibar Understaffed reception long wait ,0
88, No ground floor room as requested 2 months ago first room totally freezing etc restaurant under par Much better last time we stayed Prices gone up ,0
89, We booked 3 twins and were given 2 and a double which they couldn t change Not happy Plus bathroom had a horrible smell coming from the drain ,0
90, Even allowing for the hotel being under major renovation works the quality of service leaves a lot to be desired Noise of running water coming from the heating system disturbed our sleep considerably No remediation possible Toiletries in bathroom had been used by previous guests Some were empty some partially used Checkout at 12 30 1hour after official checkout time was declined as priority is given to a tour group arriving earlier than normal checkin time Having paid over 300 for 1 night stay this is somewhat disappointing Service at breakfast was very poor Shabby state of hotel with the exception of the rooms is perhaps explained by the renovation works and work still to be done ,0
91, The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere ,0
92, In a terrible state with builders everywhere We had to wait to get into our room as the conference event builders were blocking the door Our room that we were told was new was in a poor state of repair ,0
93, So lets start from the weird thing that happened in one of the rooms we were staying One person in our group got 220v electric chock which went through her hands It came from water boiler or lamp due to either a bad wireing faulty socket lamp or water boiler Luckily the rooms fuse discharged and cut the electricity in the room immediately The hotel covered doctor expences were very sorry about what had happened and send a fruit basket to a room They also let us have a late check out for free of charge Thats all of the compensation we had In my opinion the compensation was not that big for endangering a life of guest or what do you think The managemt had a chance to read and comment my review before i posted it The hotel management answered that this electric problem is now fixed but its still unclear if they checked other renovated rooms for faulty wireing too It anyway seems that the management does not worry about this that much since the management said that they did nor endanger any lives in the hotel Ofcource the managent was also very sorry in the answer about what had happened Some information gaps there seemed to be between the manager and the personnel since the cleaner came to ask us when are we leaving and the keys stopped working before the time we had been granted to leave Picture is from bathroom lamp that had nothing to do with the insident but such wireing was visible in the rooms,0
94, There were Construction Works and such information was not passed to us when we booked There was dust everywhere and the shower was blocked the bathroom flooded everytime we took a shower Too dark common reas ,0
95, The work being done externally right now is off putting on arrival Will look great once finished but we did get free drinks to compensate ,0
96,No Negative,0
97, Our room was a little compact probably due to it being a loft room at the end of the building However the design tried to maximise its quirky layout ,0
98, Got charged 50 for a birthday package when it was advertised for 30 on the website This was apparently due to city taxes which we were unaware of The shower was blocked and would flood the room after one use We were unable to get rid of the water so couldn t use the room after we d had a shower Couldn t check us into our room at 3pm had to wait extra 30 minutes Standard Breakfast was very expensive at 17 I highly suggest not to buy Cigarette machine was broken and staff still allowed us to try and use Overall a disappointing stay for a birthday weekend ,0
99, split level bedrooms although quirky are impractical 1 TV remote for both tv s but on differernt floors A C is located downstairs so very impractical to have to go downstairs to adjust The walls are also very thin not good sound proofing ,0
100, Building work starting at 7am waking us up no mention of building work on booking com and on hotels web page it does say renovations but not that there would be noise disturbance Also air conditioning very very loud,0
101, Hotel is having some construction work done this I can live with the tables and general cleanliness of the restaurant was not 4 star all the surfaces were sticky and full of old food the room had a very narrow and steep staircase to get to the bed really difficult to come down I thought,0
102, There was a girl working in the restaurant and we asked her a few things about the dessert but she didn t know alot The staff that evening didn t walk by our table once and when they did they didn t take our plates The staff the next day though was more experienced and very outgoing So our dinner of the night before was immediately forgotten and we had a great night at your restaurant ,0
103, it s a shame about all the construction going on because it looked like such a beautiful place but we couldn t see a lot ,0
104, Building work is being done but it doesn t case any hassle ,0
105, Construction during the day though not intrusive,0
106, The front desk staff particularly the young men tended to be a bit spaced out and were not very helpful at times however the female attendants on the desk were quite efficient and knowledgeable Breakfast was a bit pricey especially for two people combined ,0
107, No Limited A C in common areas Dangerous metal ornaments on all banisters Musty smell throughout common areas Deluxe rooms very small impractical design Impractical shower design no place for soap Poor quality bed mattress Room refrigerator barely worked Food in restaurant overprices only fair quality Overall dark rundown dreary appearance,0
108, There was a loud noise outside my room on the first night like a generator Perhaps it had to do with the renewal works in place ,0
109, The hotel is under reconstruction although it didn t affect us Overall it s a lovely hotel very spacious ,0
110, there is a renovation ongoing in front of the hotel which will hopefully be completed soon as it kills the view,0
111, Staff promised things they didn t deliver Room was very small bathroom cramped location generally distant ,0
112,No Negative,0
113,No Negative,0
114,No Negative,0
115, We would have liked to know in advance that the hotel is being renovated We had a room right in front of the building site and were waken up at 6 30 because of the noise Booking com should warn travellers for this so they can ask for a room on the quiet side of the hotel ,0
116, I wouldnt be able to recommend my grandparents as there are stairs in our room i also dont remember reading that there are stairs in the room although its fine for us as we are only 20 ,0
117, The outside of the hotel is under construction It will look beautiful when it s done ,0
118, the room next to us were quite loud at night time which proved it a bit difficult to sleep on times The bathroom was really damp due to the wet room and water went by the toilet so we had to wear shoes when using the bathroom after showering The staff member who checked us in charged us a 150 security fee and we were told that this would not be deducted from our bank only held but it was which resulted into the bank blocking my card due to an unauthorised foreign payment Check this when checking in and make sure the bank is aware ,0
119, The hotel gardens and patios were under major renovation The sidewalk entrance was a mess There was no mention of this at all on the booking com website We were given a voucher for one drink cocktails excluded as compensation Not good enough ,0
120, Major construction work underway next door as part of hotel expansion Room on 2 levels with very steep staircase which made going to the toilet in the night a very dangerous experience After complaining they did agree to move us to room on one level Food in restaurant leaves a lot to be desired for anyone wishing to have food anything except medium rare Despite friendly staff will not be returning cannot recommend ,0
121, The first room had steep steps to a loft bed Not practical and dangerous for someone 68 especially if he has to go to the bathroom in the night Second night had a room on one level ,0
122, The bathroom has cristal walls and it is not comfortable at all The room size was also pretty small ,0
123, Our suite on the 3 floor was beautiful but our mattress probably old was slumping in the middle The staff could not provide a board to put under to make it better and at the time there was no other suite available though smaller rooms were offered For the price you would have expected at least a comfortable bed,0
124, The shower was useless and when it worked it soaked the entire bathroom meaning we had to use all our towels to dry the floor was a disaster The room wasn t cleaned properly in a long time just cleaning round the edges The bed room was up a slight set of stairs which left it very warm because we were along way form the window which left the room stuffy and over heated having to go up and down stairs that were dangerous to the toilet or to get a drink was a nightmare The stairs are dangerous and narrow wouldn t be suitable for older people or kids You definitely get what you pay for It was half clean and not very central,0
125, Overpriced breakfast Bed too soft Bath had no shelf to leave bottles etc on Building works impact on overall good impression ,0
126, We were upgraded which was lovely but the heating didn t work and the room was cleaned once in 3 days We had to ask for more towels We ordered two burgers which were disgusting and the meat smelled bad after 3 mouthfuls my friend was sick ,0
127, We did have what looked like blood splashes all up the top of our curtains Told reception but nothing was done about it It definitely didn t put us of our stay and wouldn t stop us going back ,0
128, The bathrooms only had smoked glass walls which did not provide as much privacy as we are used to The lighting in the halls was too dim ,0
129, We had one of our items we bought taken possibly mistaken as rubbish even though this wasn t in the bin no where near the bin and next to other gifts we bought We told reception but nothing came of it Very disappointing as this made us feel our other belonging where not safe in the hotel from there on ,0
130, Two storey room with narrow winding stairs Wet room d cor and functionality Lack of storage space,0
131, There was a staircase in our room between the bed and the bathroom This means the bathroom is very spacious and lovely but can be a bit of a pain in the middle of the night ,0
132, It would have been nice if the one responsible for the cleaning of the room had swept up the crumbs from the floor It was noisy from the main street It was not heated floor in the bathroom and as it rained pretty much during our stay it was difficult with wet shoes There was construction site all around the hotel and the choice would have fell on another hotel if we had known this I am sure it will be very nice when it is finished ,0
133, First impressions of the dark reception made us wary to begin with Also we were given a duplex suite to start with Dutch stairs are very steep and we asked to change rooms which staff were most accommodating about The hotel is being renovated externally but this didn t affect our stay at all ,0
134, Foyer was a mess Only place to relax was the bar and that was not comfortable enough to stay for more than a drink or two We had a very cold spell and it was draughty The first room whilst ok for a honey moon couple was totally unacceptable for any one over 30 or afraid of hights The second room was huge cold and paint in need of repair The hotel states it is four star but is not It feels like a up graded backpackers It is basic clean no frills or comfort three star max I thought I was booking a comfortable picturesque hotel it felt like and old school building we later found out that is exactly what it it was The hotel was under going major re constructions to the foyer entrance area nothing was mentioned at time of booking It was very disappointing and embarrassing as I had also made the booking for our friends who we were travelling with Very expensive hotel with nothing to make up for the expensive rooms ,0
135, the club sandwiches cold bacon with congealed fat and processed chicken Very poor ,0
136, The only complaint we had was the iron in the room was not a steam iron and it was travel size which did not work particularly well ,0
137, There was a little construction at the time but we were compensated with a free drink and room well away from the work ,0
138, Building working next to entrance wooden platform to door looked unwelcoming Gothic look of reception area Checking out at 11 30am Wooden beam at one side of bed bloking your way See through glass to shower ,0
139, We didn t like our first room the stairs in the duplex were very steep and narrow ,0
140,No Negative,0
141, The fact I had to leave,0
142, The d cor but hotel is currently being extended I expect the d cor will be updated when this is finished ,0
143, The interiors are looking quite tired and the deluxe room on two levels was not to our liking This hotel was listed as four star though we would not consider this an accurate rating ,0
144, Currently have building work in the complex This didn t affect our stay as we heard nothing but visually not ideal when you arrive ,0
145, Stairs in our room were too narrow and steep No where did it say hotel was undergoing extensive building work and room looked out onto main busy road ,0
146, We booked a 3 night stay in a suite On arrival the room was tidy but not clean paint falling of the walls in a couple of places During the first night we were woken up by an intruder to the room at 0630 I went to the reception to investigate and explain what had happened It turned out to be the night cleaner who had no business coming in our room He came to apologise with a feeble excuse I tripped and fell into the door We didn t buy it and asked for a full refund credit where credit is due the manager gave it to us I asked her to remove my credit card from the room security deposit to which she assured me it was We went to a far better hotel and thought the matter was done with No it wasn t I came home to find my credit card had been charged 420 from them I phoned them up to complain and the money was returned However I have lost about 30 in bank charges due to their incompetence Terrible experience in what is essentially a hostel ,0
147, The noise of the construction works that began at 7am sharp in the mornings The see through toilet bathroom the shabby sinks and sandpaper like tissue paper ,0
148, The hotel is currently under going renovations and while this wasnt a major problem work did start early on Mon morning ,0
149, There were construction works at the front of the hotel but this didn t make much impact when inside However in the reception and all the way to the bottom floor lift was a strong eggy smell that I can only put down to the work outside It was abit gross but once we were by the actual rooms any sign of abnormal smell or noise were gone completely Considering it was a 4 star the room could have been abit neater ie The corners of the room were abit dusty the paint on the windows was cracking but there was nothing major ,0
150, More sofas needed in the bar better breakfast options water pressure in the shower was rubbish really noisy on the road no difference between open or closed Windows soft closing doors are needed room was way too hot and unable to turn the heat down No mention of the building work going on ,0
151, When we first checked in they gave us a tiny twin room which is not what we had asked for Once we came back down and asked to be switched rooms we got a far nicer room probably twice the size with a kingsize bed so not sure why we weren t given to us straight away as we are clearly a couple Also for the price it would have been nice to have been provided with breakfast or at least some toiletries other than soap we had forgotten our toothpaste ,0
152, Room 240 should be discontinued It is really too small and only upsets your Customers Breakfast okay but choices a little limited compared to others You could add seeds more fruit etc at very little extra cost ,0
153, Could hear music being played by the people in the next door room late at night ,0
154,No Negative,0
155, The cleanness was quite poor A lot of dust under the bed under the furniture on top of the bed side lamps the remote control and even the plastic glasses in the bathroom were dirty Also something went wrong with the pipes of the shower a horrible smell came out at night ,0
156, Being given a ridiculously small room initially and having to go back to reception and ask for a bigger one was rectified politely Building work being undertaken all round the hotel the ticket for one free drink per guest issued as compensation only covered a small drink I d rather not have the ticket for the drink than go through having that explained in the bar later that evening If you are going to compensate do it properly ,0
157, The first night we got there we where put in a room where there was a horrible smell coming from the bathroom I raised this with the staff and was given another room However we where there 3 days and the housekeeping is shocking They do not clean rooms properly but most importantly no clean bed sheets They just come make ur bed that s all Same cups same rubbish it s disgusting Please note if you are not a couple or prefer privacy DO NOT book this hotel their rooms are designed in such a way they are not practical Glass doors n the toilet n shower are clearly visible from the room which was really annoying we had a room where I could see the toilet from the bed Other than that it was ok not worth the money we paid ,0
158, I hate when the beds are two separate beds pushed together That may just be a European thing or maybe I got the reservation wrong either way I would still go back to this hotel,0
159, the hotel was in a bad condition Not really clean and everything was worn out Breakfast was barely OK and room service dinner was bad low quality and cold when I got it Hotel Arena doesnt deliver what its four stars promise ,0
160, Rooms could have been a little cleaner and better maintained ,0
161, The hotel looked abit tired lots of scratches and market on the walls the floors in the room looked a little dirty and our room smelt very bad of dirty drains so bad we actually moved rooms,0
162, The room we were given originally wasn t very clean there was a problem with the floor which was unsafe they said they didn t have time to get this fixed before my stay which I thought was poor No bath in room even though I requested one on booking,0
163, Radiator in bedroom needed bleeding but really not a problem ,0
164, Location is a little far from centre the hotel is tired it needs a bit of money spending on it polish it up and make feel new again as it doesn t feel new it feels tired ,0
165, Room could have done with a microwave our room had a small leak in the walls from where the rain would come through ,0
166, The hotel was incorrectly informed about my room type booking Building work within the grounds worth mentioning but is not is noisy or obtrusive ,0
167, The shower was slightly faulty but we told the staff and they will be giving us some money back The room could ve been slightly cleaner in places and the refurbishments going on meant that the hotel was surrounded by construction works But very good value for money ,0
168,No Negative,0
169, Nothing One Of The Receptionist she did a racist comment regarding My accent and my country The housekeeping Didnt like was a disaster Enter in The room Without knock The door a tall girl ,0
170, Breakfast was crazy expensive Location required about a 10 minute walk to the nearest subway Construction is underway for a massive expansion project so there was some noise during the day ,0
